date,new_postings_SA,new_postings_NSA
2020-02-01,100.0,100.0
2020-02-02,100.29,100.6
2020-02-03,100.6,101.27
2020-02-04,100.39,101.39
2020-02-05,100.39,101.66
2020-02-06,100.43,102.11
2020-02-07,99.86,102.94
2020-02-08,100.19,104.89
2020-02-09,100.5,106.13
2020-02-10,101.04,107.46
2020-02-11,101.8,108.98
2020-02-12,102.67,110.49
2020-02-13,103.44,111.78
2020-02-14,104.63,112.67
2020-02-15,104.51,111.17
2020-02-16,104.55,110.03
2020-02-17,104.55,108.65
2020-02-18,104.05,106.63
2020-02-19,103.24,104.25
2020-02-20,102.65,102.1
2020-02-21,102.63,100.4
2020-02-22,102.62,99.89
2020-02-23,102.42,99.37
2020-02-24,101.93,98.86
2020-02-25,102.39,99.57
2020-02-26,102.91,100.53
2020-02-27,103.19,101.35
2020-02-28,103.03,102.01
2020-02-29,103.6,103.02
2020-03-01,104.08,104.16
2020-03-02,104.46,105.77
2020-03-03,104.04,106.6
2020-03-04,103.58,107.47
2020-03-05,103.05,108.53
2020-03-06,102.5,109.61
2020-03-07,100.65,110.19
2020-03-08,99.48,111.51
2020-03-09,98.7,112.06
2020-03-10,98.28,112.62
2020-03-11,98.0,113.21
2020-03-12,97.86,113.48
2020-03-13,97.29,113.2
2020-03-14,97.4,112.82
2020-03-15,96.15,110.15
2020-03-16,95.05,107.9
2020-03-17,92.18,104.16
2020-03-18,88.16,99.19
2020-03-19,83.45,93.67
2020-03-20,78.45,87.84
2020-03-21,73.58,81.82
2020-03-22,69.58,77.47
2020-03-23,64.91,72.69
2020-03-24,62.39,69.62
2020-03-25,60.53,67.34
2020-03-26,59.14,65.47
2020-03-27,57.64,63.52
2020-03-28,55.89,61.75
2020-03-29,54.01,59.55
2020-03-30,52.59,57.73
2020-03-31,50.54,55.51
2020-04-01,48.29,53.33
2020-04-02,46.02,51.71
2020-04-03,44.58,50.84
2020-04-04,42.94,49.76
2020-04-05,40.86,48.59
2020-04-06,38.7,47.71
2020-04-07,36.49,47.05
2020-04-08,35.97,48.01
2020-04-09,36.2,48.54
2020-04-10,36.88,49.44
2020-04-11,38.56,50.85
2020-04-12,40.67,52.32
2020-04-13,42.91,53.57
2020-04-14,45.26,54.74
2020-04-15,46.09,53.52
2020-04-16,46.3,52.52
2020-04-17,45.92,51.26
2020-04-18,45.41,50.31
2020-04-19,44.95,49.33
2020-04-20,44.34,48.4
2020-04-21,44.0,47.77
2020-04-22,44.31,48.37
2020-04-23,44.92,49.0
2020-04-24,45.83,49.62
2020-04-25,46.47,50.05
2020-04-26,46.92,50.63
2020-04-27,47.61,51.22
2020-04-28,48.08,51.6
2020-04-29,48.84,52.05
2020-04-30,49.62,52.55
2020-05-01,50.34,53.31
2020-05-02,51.05,54.54
2020-05-03,51.81,55.68
2020-05-04,52.31,56.81
2020-05-05,53.06,58.23
2020-05-06,53.8,60.04
2020-05-07,53.54,61.71
2020-05-08,54.11,64.22
2020-05-09,54.8,65.8
2020-05-10,55.65,67.32
2020-05-11,56.41,68.56
2020-05-12,57.2,69.62
2020-05-13,57.72,70.09
2020-05-14,60.0,71.46
2020-05-15,61.46,71.02
2020-05-16,62.68,70.91
2020-05-17,63.67,70.73
2020-05-18,64.85,70.69
2020-05-19,65.61,70.44
2020-05-20,65.77,69.86
2020-05-21,65.08,68.56
2020-05-22,64.33,68.18
2020-05-23,64.11,67.82
2020-05-24,63.91,67.5
2020-05-25,63.62,67.2
2020-05-26,62.45,65.83
2020-05-27,61.98,64.79
2020-05-28,62.19,63.83
2020-05-29,63.72,62.74
2020-05-30,64.06,60.28
2020-05-31,66.37,59.72
2020-06-01,68.14,59.25
2020-06-02,72.15,61.5
2020-06-03,76.26,63.94
2020-06-04,78.96,66.49
2020-06-05,79.79,69.16
2020-06-06,81.04,73.4
2020-06-07,79.36,75.8
2020-06-08,79.32,79.11
2020-06-09,78.23,80.65
2020-06-10,77.05,82.0
2020-06-11,76.5,83.16
2020-06-12,76.76,84.29
2020-06-13,77.54,85.88
2020-06-14,79.69,87.62
2020-06-15,80.52,87.36
2020-06-16,81.54,87.39
2020-06-17,82.36,87.47
2020-06-18,83.43,87.55
2020-06-19,83.66,87.08
2020-06-20,84.06,86.2
2020-06-21,84.32,85.25
2020-06-22,84.85,85.31
2020-06-23,84.89,85.04
2020-06-24,85.41,84.77
2020-06-25,85.73,84.41
2020-06-26,86.47,84.39
2020-06-27,86.94,84.31
2020-06-28,87.28,84.2
2020-06-29,87.73,84.23
2020-06-30,88.45,84.56
2020-07-01,88.21,84.77
2020-07-02,88.17,85.58
2020-07-03,88.18,86.48
2020-07-04,86.69,86.17
2020-07-05,87.87,85.7
2020-07-06,89.26,85.01
2020-07-07,89.33,84.2
2020-07-08,90.78,84.51
2020-07-09,92.32,83.87
2020-07-10,94.21,83.39
2020-07-11,97.84,85.41
2020-07-12,97.66,88.01
2020-07-13,96.47,90.71
2020-07-14,96.94,93.79
2020-07-15,96.56,94.76
2020-07-16,95.78,96.08
2020-07-17,94.47,97.26
2020-07-18,92.65,97.01
2020-07-19,92.0,96.29
2020-07-20,92.04,95.64
2020-07-21,91.75,94.89
2020-07-22,91.68,95.51
2020-07-23,91.69,96.08
2020-07-24,92.52,96.74
2020-07-25,93.57,97.61
2020-07-26,94.81,98.55
2020-07-27,96.1,99.42
2020-07-28,97.02,99.84
2020-07-29,97.41,99.74
2020-07-30,97.48,99.58
2020-07-31,97.1,99.12
2020-08-01,96.37,98.44
2020-08-02,94.89,97.92
2020-08-03,93.26,97.35
2020-08-04,91.88,97.02
2020-08-05,90.6,96.9
2020-08-06,89.63,96.88
2020-08-07,88.26,97.08
2020-08-08,87.82,98.44
2020-08-09,88.15,99.4
2020-08-10,88.63,100.36
2020-08-11,89.18,101.37
2020-08-12,89.67,102.02
2020-08-13,89.78,102.48
2020-08-14,90.62,103.39
2020-08-15,90.57,102.14
2020-08-16,90.72,101.46
2020-08-17,90.64,100.77
2020-08-18,90.62,100.02
2020-08-19,91.04,99.76
2020-08-20,91.99,99.81
2020-08-21,92.49,99.24
2020-08-22,93.23,99.83
2020-08-23,93.56,99.96
2020-08-24,93.92,100.03
2020-08-25,94.39,100.27
2020-08-26,94.48,100.19
2020-08-27,94.35,99.95
2020-08-28,94.33,99.81
2020-08-29,94.63,99.83
2020-08-30,95.2,100.03
2020-08-31,96.13,100.35
2020-09-01,96.42,100.31
2020-09-02,97.03,101.02
2020-09-03,97.5,101.85
2020-09-04,98.93,102.73
2020-09-05,100.9,103.36
2020-09-06,102.67,103.98
2020-09-07,103.39,104.66
2020-09-08,103.77,104.73
2020-09-09,103.81,103.59
2020-09-10,104.26,102.68
2020-09-11,103.1,101.91
2020-09-12,101.44,101.44
2020-09-13,98.17,100.84
2020-09-14,95.43,100.21
2020-09-15,95.46,101.26
2020-09-16,96.04,103.15
2020-09-17,96.24,104.6
2020-09-18,96.77,105.61
2020-09-19,97.03,106.15
2020-09-20,98.94,106.83
2020-09-21,100.99,107.41
2020-09-22,100.8,107.09
2020-09-23,100.2,106.44
2020-09-24,100.01,105.98
2020-09-25,100.51,106.21
2020-09-26,101.21,106.83
2020-09-27,101.76,107.23
2020-09-28,102.55,107.66
2020-09-29,103.52,107.89
2020-09-30,104.57,108.04
2020-10-01,104.91,108.11
2020-10-02,104.65,107.89
2020-10-03,104.44,107.81
2020-10-04,104.2,107.96
2020-10-05,103.66,108.15
2020-10-06,103.33,108.74
2020-10-07,102.56,109.63
2020-10-08,103.37,111.84
2020-10-09,104.34,113.44
2020-10-10,105.1,114.57
2020-10-11,105.98,115.69
2020-10-12,107.24,116.74
2020-10-13,108.02,117.28
2020-10-14,109.08,117.66
2020-10-15,108.63,115.44
2020-10-16,108.73,114.11
2020-10-17,108.45,112.79
2020-10-18,108.08,111.48
2020-10-19,107.45,110.05
2020-10-20,107.38,109.09
2020-10-21,107.39,108.24
2020-10-22,107.97,108.78
2020-10-23,107.46,108.35
2020-10-24,107.5,108.15
2020-10-25,107.79,108.07
2020-10-26,108.24,108.18
2020-10-27,108.63,108.28
2020-10-28,108.96,108.25
2020-10-29,109.15,108.13
2020-10-30,109.82,108.4
2020-10-31,110.2,108.46
2020-11-01,110.22,108.21
2020-11-02,110.09,108.33
2020-11-03,109.77,108.49
2020-11-04,109.11,108.58
2020-11-05,108.15,108.45
2020-11-06,107.45,108.77
2020-11-07,106.42,109.55
2020-11-08,106.29,111.38
2020-11-09,106.28,112.4
2020-11-10,106.04,112.79
2020-11-11,106.45,113.48
2020-11-12,107.49,114.72
2020-11-13,108.32,115.48
2020-11-14,109.12,115.28
2020-11-15,109.42,113.51
2020-11-16,109.8,112.17
2020-11-17,110.33,111.28
2020-11-18,110.65,110.23
2020-11-19,110.64,109.08
2020-11-20,110.68,108.14
2020-11-21,111.13,107.84
2020-11-22,111.58,108.22
2020-11-23,112.26,108.55
2020-11-24,113.04,108.55
2020-11-25,113.36,108.09
2020-11-26,115.14,106.59
2020-11-27,114.95,103.04
2020-11-28,115.94,97.53
2020-11-29,116.16,91.85
2020-11-30,115.78,86.02
2020-12-01,114.69,80.63
2020-12-02,113.84,76.42
2020-12-03,108.01,73.48
2020-12-04,105.2,74.4
2020-12-05,102.62,78.79
2020-12-06,101.9,83.56
2020-12-07,99.75,88.55
2020-12-08,99.03,94.17
2020-12-09,99.07,98.98
2020-12-10,102.85,103.36
2020-12-11,105.66,105.92
2020-12-12,107.03,106.81
2020-12-13,107.19,107.43
2020-12-14,109.07,107.89
2020-12-15,109.99,106.45
2020-12-16,110.33,104.9
2020-12-17,110.08,103.24
2020-12-18,109.93,101.76
2020-12-19,109.73,100.1
2020-12-20,109.73,98.58
2020-12-21,109.77,97.24
2020-12-22,110.22,97.26
2020-12-23,110.72,97.11
2020-12-24,111.94,96.66
2020-12-25,112.64,94.42
2020-12-26,113.42,90.68
2020-12-27,114.39,86.32
2020-12-28,115.54,81.79
2020-12-29,116.45,76.38
2020-12-30,117.17,71.33
2020-12-31,117.48,66.61
2021-01-01,116.82,64.32
2021-01-02,117.4,64.71
2021-01-03,115.13,65.64
2021-01-04,111.7,66.94
2021-01-05,109.03,70.14
2021-01-06,107.36,74.54
2021-01-07,105.7,80.65
2021-01-08,107.12,88.94
2021-01-09,108.03,97.92
2021-01-10,111.42,107.57
2021-01-11,115.68,117.09
2021-01-12,118.42,124.35
2021-01-13,120.0,130.03
2021-01-14,121.58,133.83
2021-01-15,121.55,134.01
2021-01-16,121.28,132.52
2021-01-17,120.73,130.13
2021-01-18,120.41,127.54
2021-01-19,120.53,125.31
2021-01-20,120.74,123.3
2021-01-21,121.06,121.43
2021-01-22,120.68,119.48
2021-01-23,119.67,117.64
2021-01-24,119.19,116.36
2021-01-25,118.28,115.15
2021-01-26,118.44,115.4
2021-01-27,119.07,116.15
2021-01-28,119.97,117.44
2021-01-29,121.15,119.26
2021-01-30,122.38,120.88
2021-01-31,123.58,122.35
2021-02-01,124.79,123.86
2021-02-02,125.18,124.83
2021-02-03,125.2,125.58
2021-02-04,125.0,126.13
2021-02-05,125.32,127.15
2021-02-06,125.72,128.38
2021-02-07,125.07,129.73
2021-02-08,125.03,131.76
2021-02-09,125.38,133.02
2021-02-10,125.85,134.17
2021-02-11,126.12,135.0
2021-02-12,126.01,135.4
2021-02-13,125.89,135.72
2021-02-14,126.65,135.89
2021-02-15,127.71,135.07
2021-02-16,127.83,133.81
2021-02-17,127.59,132.19
2021-02-18,127.32,130.37
2021-02-19,127.09,128.44
2021-02-20,126.75,126.33
2021-02-21,126.47,124.17
2021-02-22,124.7,121.78
2021-02-23,124.17,121.01
2021-02-24,124.62,121.2
2021-02-25,125.37,122.05
2021-02-26,126.14,123.19
2021-02-27,127.1,124.65
2021-02-28,127.95,126.25
2021-03-01,129.11,128.25
2021-03-02,130.02,130.65
2021-03-03,130.55,132.99
2021-03-04,130.91,135.21
2021-03-05,131.58,137.88
2021-03-06,132.02,140.36
2021-03-07,131.81,143.14
2021-03-08,132.71,146.82
2021-03-09,133.26,148.54
2021-03-10,133.31,149.41
2021-03-11,133.34,150.05
2021-03-12,133.34,150.33
2021-03-13,133.76,150.95
2021-03-14,134.7,151.13
2021-03-15,135.3,149.97
2021-03-16,135.97,149.39
2021-03-17,136.86,149.52
2021-03-18,137.87,149.65
2021-03-19,138.78,149.69
2021-03-20,139.86,149.84
2021-03-21,141.64,150.34
2021-03-22,142.31,150.63
2021-03-23,144.15,152.44
2021-03-24,146.72,154.22
2021-03-25,148.24,155.17
2021-03-26,149.9,156.29
2021-03-27,151.23,157.12
2021-03-28,151.66,157.43
2021-03-29,152.93,158.36
2021-03-30,152.62,157.55
2021-03-31,151.56,156.37
2021-04-01,150.62,155.75
2021-04-02,149.64,155.68
2021-04-03,148.76,155.44
2021-04-04,148.11,155.47
2021-04-05,147.17,155.55
2021-04-06,146.11,155.89
2021-04-07,144.78,156.56
2021-04-08,145.12,158.58
2021-04-09,146.24,159.85
2021-04-10,147.61,161.49
2021-04-11,149.23,163.06
2021-04-12,151.36,164.94
2021-04-13,154.61,167.68
2021-04-14,158.51,170.44
2021-04-15,161.64,171.44
2021-04-16,163.59,172.16
2021-04-17,164.99,172.72
2021-04-18,166.25,173.29
2021-04-19,167.45,173.59
2021-04-20,167.21,172.55
2021-04-21,166.66,171.33
2021-04-22,165.59,170.27
2021-04-23,164.69,169.39
2021-04-24,164.09,168.27
2021-04-25,163.19,167.05
2021-04-26,161.78,165.78
2021-04-27,160.88,164.79
2021-04-28,159.84,163.64
2021-04-29,159.84,163.32
2021-04-30,159.86,162.92
2021-05-01,159.4,162.72
2021-05-02,159.13,163.28
2021-05-03,159.23,164.05
2021-05-04,159.7,165.49
2021-05-05,160.3,167.08
2021-05-06,160.36,168.53
2021-05-07,159.39,170.2
2021-05-08,160.03,173.06
2021-05-09,160.66,174.42
2021-05-10,161.4,175.55
2021-05-11,161.75,176.03
2021-05-12,162.22,176.49
2021-05-13,162.84,176.96
2021-05-14,164.46,177.16
2021-05-15,164.92,175.23
2021-05-16,164.49,173.26
2021-05-17,164.49,172.09
2021-05-18,164.67,171.06
2021-05-19,164.19,169.49
2021-05-20,163.59,167.99
2021-05-21,163.12,166.72
2021-05-22,161.49,165.49
2021-05-23,161.34,165.36
2021-05-24,160.49,164.26
2021-05-25,159.62,163.28
2021-05-26,159.47,162.92
2021-05-27,159.69,162.56
2021-05-28,160.56,162.06
2021-05-29,163.51,162.21
2021-05-30,166.36,161.98
2021-05-31,169.2,161.89
2021-06-01,168.16,158.78
2021-06-02,166.81,155.93
2021-06-03,165.35,153.14
2021-06-04,162.53,150.78
2021-06-05,158.52,149.18
2021-06-06,153.74,147.85
2021-06-07,148.29,146.94
2021-06-08,150.62,152.94
2021-06-09,153.21,158.03
2021-06-10,155.43,162.51
2021-06-11,158.35,166.71
2021-06-12,161.08,170.02
2021-06-13,163.78,173.35
2021-06-14,167.33,176.22
2021-06-15,166.85,174.17
2021-06-16,166.29,172.47
2021-06-17,166.26,171.79
2021-06-18,166.09,170.76
2021-06-19,166.02,169.97
2021-06-20,166.53,169.04
2021-06-21,167.1,168.27
2021-06-22,168.4,169.08
2021-06-23,169.65,170.05
2021-06-24,170.14,170.01
2021-06-25,170.45,170.05
2021-06-26,170.61,170.13
2021-06-27,170.26,169.64
2021-06-28,169.69,169.07
2021-06-29,168.39,168.08
2021-06-30,166.91,166.84
2021-07-01,165.43,165.6
2021-07-02,164.57,165.41
2021-07-03,164.0,165.39
2021-07-04,163.11,165.75
2021-07-05,165.06,166.1
2021-07-06,165.27,163.97
2021-07-07,164.01,161.57
2021-07-08,164.1,160.68
2021-07-09,164.54,158.59
2021-07-10,165.41,156.65
2021-07-11,165.94,155.01
2021-07-12,162.38,153.8
2021-07-13,163.14,158.15
2021-07-14,165.71,162.98
2021-07-15,167.77,165.97
2021-07-16,168.78,169.0
2021-07-17,169.53,172.37
2021-07-18,171.18,175.72
2021-07-19,174.03,178.53
2021-07-20,173.97,177.7
2021-07-21,173.13,176.34
2021-07-22,171.25,175.17
2021-07-23,169.93,174.46
2021-07-24,168.39,172.49
2021-07-25,166.89,170.55
2021-07-26,165.79,168.94
2021-07-27,165.18,167.77
2021-07-28,165.1,167.07
2021-07-29,165.15,166.57
2021-07-30,164.6,165.66
2021-07-31,164.7,165.79
2021-08-01,164.25,165.72
2021-08-02,163.51,166.34
2021-08-03,162.97,167.36
2021-08-04,162.59,168.52
2021-08-05,162.28,169.93
2021-08-06,162.41,171.51
2021-08-07,161.21,172.45
2021-08-08,161.45,174.75
2021-08-09,161.74,175.45
2021-08-10,161.91,175.75
2021-08-11,162.33,176.21
2021-08-12,163.22,176.94
2021-08-13,163.7,177.57
2021-08-14,165.27,178.78
2021-08-15,165.6,177.49
2021-08-16,165.92,176.88
2021-08-17,166.67,177.14
2021-08-18,166.86,176.72
2021-08-19,166.5,175.64
2021-08-20,166.72,174.83
2021-08-21,167.99,174.89
2021-08-22,169.43,176.23
2021-08-23,170.96,177.67
2021-08-24,171.02,177.24
2021-08-25,171.94,177.75
2021-08-26,173.04,178.6
2021-08-27,172.74,178.18
2021-08-28,171.07,176.38
2021-08-29,169.79,174.74
2021-08-30,168.54,172.98
2021-08-31,168.13,172.01
2021-09-01,166.36,170.19
2021-09-02,165.01,169.29
2021-09-03,164.57,169.6
2021-09-04,165.29,170.18
2021-09-05,167.14,171.14
2021-09-06,168.75,172.04
2021-09-07,166.59,170.29
2021-09-08,165.9,169.45
2021-09-09,164.82,166.92
2021-09-10,164.04,164.49
2021-09-11,161.82,162.31
2021-09-12,158.47,159.77
2021-09-13,153.86,157.61
2021-09-14,155.98,161.53
2021-09-15,157.83,164.01
2021-09-16,159.61,167.02
2021-09-17,161.33,170.04
2021-09-18,163.47,172.73
2021-09-19,165.49,175.14
2021-09-20,168.95,177.29
2021-09-21,169.37,176.13
2021-09-22,169.96,176.6
2021-09-23,170.52,177.17
2021-09-24,171.06,177.23
2021-09-25,171.34,177.01
2021-09-26,171.45,176.91
2021-09-27,171.65,176.9
2021-09-28,171.76,176.55
2021-09-29,170.93,174.86
2021-09-30,169.98,172.84
2021-10-01,168.88,171.75
2021-10-02,168.56,171.92
2021-10-03,168.2,172.14
2021-10-04,167.5,172.26
2021-10-05,167.24,173.18
2021-10-06,167.54,174.87
2021-10-07,167.47,177.13
2021-10-08,167.63,178.89
2021-10-09,167.74,179.39
2021-10-10,167.77,179.49
2021-10-11,168.13,179.67
2021-10-12,167.68,178.64
2021-10-13,166.86,177.27
2021-10-14,166.89,176.05
2021-10-15,167.02,173.91
2021-10-16,166.57,171.89
2021-10-17,166.71,170.97
2021-10-18,166.7,170.07
2021-10-19,167.66,170.19
2021-10-20,168.7,170.32
2021-10-21,169.34,170.08
2021-10-22,169.71,170.46
2021-10-23,170.43,171.34
2021-10-24,170.33,170.85
2021-10-25,170.25,170.26
2021-10-26,169.85,169.43
2021-10-27,169.49,168.71
2021-10-28,169.33,168.1
2021-10-29,169.11,167.54
2021-10-30,168.78,166.7
2021-10-31,169.1,166.81
2021-11-01,169.94,167.78
2021-11-02,171.27,169.74
2021-11-03,172.58,172.0
2021-11-04,173.41,174.1
2021-11-05,174.46,176.55
2021-11-06,175.24,178.87
2021-11-07,174.91,180.87
2021-11-08,174.89,182.93
2021-11-09,174.01,182.8
2021-11-10,173.49,182.56
2021-11-11,174.84,183.69
2021-11-12,175.38,183.97
2021-11-13,175.45,183.62
2021-11-14,175.74,182.42
2021-11-15,175.47,179.55
2021-11-16,175.8,178.01
2021-11-17,175.16,175.87
2021-11-18,172.8,172.17
2021-11-19,171.76,170.02
2021-11-20,170.9,168.13
2021-11-21,170.95,167.37
2021-11-22,171.07,167.48
2021-11-23,171.45,167.63
2021-11-24,172.24,167.59
2021-11-25,172.55,166.99
2021-11-26,171.07,162.09
2021-11-27,167.47,155.12
2021-11-28,166.25,147.34
2021-11-29,164.81,140.0
2021-11-30,163.05,132.64
2021-12-01,162.09,127.53
2021-12-02,162.14,124.64
2021-12-03,162.73,128.55
2021-12-04,167.36,137.36
2021-12-05,169.13,146.69
2021-12-06,172.11,155.68
2021-12-07,172.91,164.25
2021-12-08,173.46,171.45
2021-12-09,174.11,176.64
2021-12-10,175.41,178.23
2021-12-11,174.76,176.84
2021-12-12,174.69,175.87
2021-12-13,173.3,174.57
2021-12-14,174.13,173.45
2021-12-15,174.5,170.94
2021-12-16,174.42,168.8
2021-12-17,174.53,167.48
2021-12-18,175.0,166.68
2021-12-19,175.13,165.35
2021-12-20,175.24,163.88
2021-12-21,175.2,162.39
2021-12-22,174.86,161.56
2021-12-23,174.37,160.37
2021-12-24,172.91,156.98
2021-12-25,170.36,151.25
2021-12-26,168.66,144.87
2021-12-27,168.14,138.89
2021-12-28,167.58,132.54
2021-12-29,167.05,125.65
2021-12-30,166.4,119.19
2021-12-31,166.59,114.59
2022-01-01,167.6,113.48
2022-01-02,167.5,113.7
2022-01-03,164.33,114.11
2022-01-04,161.37,116.34
2022-01-05,159.53,120.89
2022-01-06,159.14,126.95
2022-01-07,157.81,133.86
2022-01-08,159.82,143.91
2022-01-09,160.99,152.95
2022-01-10,163.65,161.69
2022-01-11,166.21,169.21
2022-01-12,168.31,175.52
2022-01-13,169.42,180.57
2022-01-14,171.4,184.33
2022-01-15,170.33,183.01
2022-01-16,170.6,181.89
2022-01-17,171.98,181.4
2022-01-18,172.69,179.88
2022-01-19,172.91,177.74
2022-01-20,173.04,175.54
2022-01-21,173.54,173.73
2022-01-22,174.15,172.72
2022-01-23,174.31,172.07
2022-01-24,173.31,170.12
2022-01-25,173.84,170.17
2022-01-26,174.78,171.05
2022-01-27,175.74,171.95
2022-01-28,176.25,172.64
2022-01-29,176.47,173.49
2022-01-30,177.15,174.5
2022-01-31,178.03,175.82
2022-02-01,177.97,176.48
2022-02-02,178.07,177.66
2022-02-03,178.2,179.16
2022-02-04,178.31,180.81
2022-02-05,178.54,182.4
2022-02-06,178.41,183.69
2022-02-07,177.8,185.58
2022-02-08,178.01,188.07
2022-02-09,178.5,189.26
2022-02-10,178.84,189.96
2022-02-11,179.07,190.28
2022-02-12,179.36,190.65
2022-02-13,179.62,190.98
2022-02-14,180.65,190.92
2022-02-15,180.71,188.57
2022-02-16,180.42,186.7
2022-02-17,180.91,185.74
2022-02-18,181.75,185.05
2022-02-19,182.39,184.0
2022-02-20,183.61,183.4
2022-02-21,185.13,183.0
2022-02-22,185.87,183.12
2022-02-23,186.22,183.23
2022-02-24,185.37,181.95
2022-02-25,183.9,180.38
2022-02-26,182.68,179.36
2022-02-27,180.84,177.92
2022-02-28,178.69,176.46
2022-03-01,178.01,176.97
2022-03-02,177.78,178.59
2022-03-03,178.22,181.35
2022-03-04,179.05,184.58
2022-03-05,179.47,187.55
